1000 94414.7 
1100 83034.3 
1200 67479.2 
1300 55737.2 
1400 46699.1 
1500 39591.9 
1600 33707.8 
1700 28970.4 
1800 25115.1 
1900 21939.9 
2000 19295.5 
2100 16998 
2200 15054.2 
2300 13405.3 
2400 12000.4 
2500 10790.1 
2600 9742.24 
2700 8830.12 
2800 8031.78 
2900 7329.1 
3000 6709.86 
3100 6149.1 
3200 5647.56 
3300 5202.32 
3400 4803.71 
3500 4445.62 
3600 4123.62 
3700 3833.2 
3800 3568.66 
3900 3331.06 
4000 3112.98 
4100 2911.1 
4200 2727.7 
4300 2559.73 
4400 2405.26 
4500 2263.1 
4600 2132.1 
4700 2011.32 
4800 1900.33 
4900 1797.51 
5000 1701.98 
5100 1612.63 
5200 1529.43 
5300 1451.99 
5400 1379.8 
5500 1312.42 
5600 1249.44 
5700 1190.59 
5800 1135.73 
5900 1084.27 
6000 1035.78 
6100 989.922 
6200 946.588 
6300 905.708 
6400 867.25 
6500 831.338 
6600 797.32 
6700 765.05 
6800 734.396 
6900 705.676 
7000 678.537 
7100 652.644 
7200 627.909 
7300 604.837 
7400 582.807 
7500 561.671 
7600 541.728 
7700 522.832 
7800 504.625 
7900 487.389 
8000 470.999 
8100 455.114 
8200 440.109 
8300 425.746 
8400 411.802 
8500 398.837 
8600 386.199 
8700 374.153 
8800 362.682 
8900 351.487 
9000 1509 
9100 2417.89 
9200 2357.52 
9300 2298.75 
9400 2241.93 
9500 2187.16 
9600 2133.54 
9700 2082.25 
9800 2031.54 
9900 1983.29 
10000 1935.25 
10100 1889.67 
10200 1844.2 
10300 1801.03 
10400 1757.97 
10500 1717.1 
10600 1676.27 
10700 1637.65 
10800 1599.03 
10900 1562.48 
11000 1526.05 
11100 1491.36 
11200 1457.02 
11300 1424.05 
11400 1391.73 
11500 1360.35 
11600 1329.96 
11700 1300.03 
11800 1271.5 
11900 1242.97 
12000 1216.15 
12100 1189.39 
12200 1163.7 
12300 1138.62 
12400 1113.96 
12500 1090.48 
12600 1067.01 
12700 1044.81 
12800 1022.86 
12900 1001.45 
13000 980.934 
13100 960.42 
13200 941.08 
13300 921.932 
13400 903.163 
13500 885.297 
13600 867.431 
13700 850.394 
13800 833.743 
13900 817.112 
14000 801.607 
14100 786.103 
14200 770.92 
14300 756.489 
14400 742.058 
14500 728.158 
14600 714.73 
14700 701.303 
14800 688.543 
14900 676.065 
15000 663.586 
15100 651.839 
15200 640.249 
15300 628.659 
15400 617.79 
15500 607.013 
15600 596.236 
15700 586.142 
15800 576.13 
15900 566.117 
16000 556.694 
16100 547.381 
16200 538.069 
16300 529.23 
16400 520.567 
16500 511.904 
16600 503.578 
16700 495.522 
16800 487.465 
16900 479.588 
17000 472.089 
17100 464.591 
17200 457.105 
17300 450.127 
17400 443.149 
17500 436.172 
17600 429.511 
17700 423.013 
17800 416.516 
17900 410.123 
18000 404.074 
18100 398.026 
18200 391.978 
18300 386.234 
18400 380.599 
18500 374.963 
18600 369.396 
18700 364.149 
18800 358.901 
18900 353.654 
19000 348.6 
19100 343.71 
19200 338.821 
19300 333.931 
19400 329.32 
19500 324.765 
19600 320.209 
19700 315.672 
19800 311.427 
19900 307.182 
20000 302.937 
20100 298.752 
20200 294.796 
20300 290.839 
20400 286.883 
20500 283.002 
20600 279.315 
20700 275.628 
20800 271.941 
20900 268.325 
21000 264.891 
21100 261.456 
21200 258.022 
21300 254.635 
21400 251.436 
21500 248.238 
21600 245.04 
21700 241.85 
21800 238.871 
21900 235.892 
22000 232.913 
22100 229.935 
22200 227.119 
22300 224.346 
22400 221.572 
22500 218.799 
22600 216.115 
22700 213.534 
22800 210.952 
22900 208.371 
23000 205.8 
23100 203.397 
23200 200.994 
23300 198.591 
23400 196.187 
23500 193.879 
23600 191.643 
23700 189.406 
23800 187.17 
23900 184.934 
24000 182.85 
24100 180.769 
24200 178.688 
24300 176.607 
24400 174.571 
24500 172.635 
24600 170.7 
24700 168.764 
24800 166.828 
24900 164.966 
25000 163.165 
25100 161.365 
25200 159.564 
25300 157.764 
25400 156.049 
25500 154.375 
25600 152.7 
25700 151.026 
25800 149.351 
25900 147.763 
26000 146.206 
26100 144.649 
26200 143.092 
26300 141.535 
26400 140.052 
26500 138.604 
26600 137.156 
26700 135.708 
26800 134.26 
26900 132.866 
27000 131.52 
27100 130.174 
27200 128.829 
27300 127.483 
27400 126.164 
27500 124.912 
27600 123.661 
27700 122.41 
27800 121.159 
27900 119.908 
28000 118.739 
28100 117.577 
28200 116.414 
28300 115.252 
28400 114.089 
28500 112.966 
28600 111.885 
28700 110.805 
28800 109.724 
28900 108.644 
29000 107.563 
29100 106.553 
29200 105.549 
29300 104.544 
29400 103.54 
29500 102.536 
29600 101.549 
29700 100.617 
29800 99.6837 
29900 98.7509 
30000 97.8181 
30100 96.8853 
30200 95.9828 
30300 95.1163 
30400 94.2497 
30500 93.3832 
30600 92.5167 
30700 91.6501 
30800 90.8183 
30900 90.0133 
31000 89.2084 
31100 88.4035 
31200 87.5986 
31300 86.7937 
31400 86.0205 
31500 85.2729 
31600 84.5253 
31700 83.7777 
31800 83.0302 
31900 82.2826 
32000 81.5575 
32100 80.8631 
32200 80.1686 
32300 79.4742 
32400 78.7798 
32500 78.0853 
32600 77.3995 
32700 76.7544 
32800 76.1093 
32900 75.4642 
33000 74.8191 
33100 74.1741 
33200 73.529 
33300 72.9209 
33400 72.3219 
33500 71.7229 
33600 71.1239 
33700 70.5249 
33800 69.9259 
33900 69.34 
34000 68.7836 
34100 68.2273 
34200 67.6709 
